word,number
hyperparameters,1
right,22
combination.,2
moved,5
"cloud,",1
test,2
multiple,4
configurations,2
time.”,1
Nvidia,2
Inception,2
Program,1
startups.,1
local,5
"GPUs,",1
released,1
P2,1
P3,2
EC2,1
"instances,",1
"cloud,”",1
“Bringing,1
scaling,1
competitive,1
advantage,6
joined,1
Nvidia's,1
program,2
"startups,",1
aware,1
GPU,2
Cloud,1
runs,1
top,4
instances.”,1
stated,1
"before,",1
automate,8
2019.,3
easily,2
applying,1
additional,3
(more,1
"auto-cropping,",1
"marketplaces,",1
"etc.),",1
truth,2
anticipating,1
revolutionary,1
advancements.,1
major,9
publication,1
October,1
2017,1
papers.,1
else),1
“Convolutional,1
Neural,1
Networks”,1
(CNN).,1
CNN,4
refer,1
“Deep,1
Learning”,1
“Machine,1
Learning.”,1
"weeds,",1
"simplistically,",1
counting,1
objects,2
relationship,1
3,3
dimensions.,1
"result,",2
recognizing,2
similar,3
poses,1
"(position,",1
"size,",1
orientation).,1
Styling,1
angles,1
unexpected,1
positions,1
fool,1
(CNN),1
neural,22
networks.,4
great,3
"rotated,",1
atypical,2
"zoom,",1
photographed,2
angles.,2
"Or,",1
"commonly,",1
fixed,1
shape—like,1
"necklaces,",1
variety,4
"styling,",2
"chains,",1
charms.,1
mitigate,1
controlling,1
rocked,1
godfathers,1
Deep,2
"Learning,",1
Geoffrey,2
"Hinton,",1
introduced,1
network,10
called,10
“Capsule,1
Network”,1
(CapsNet).,1
Capsule,2
networks,10
large,2
pose!,1
Portion,1
Hinton,1
Network,1
paper,2
"(""Matrix",1
Capsules,1
EM,1
"Routing"").",1
proof,1
toy,1
"figurines,",1
individually,1
plain,4
"Overhead,",1
"straight-on,",1
"view,",1
etc.,7
Sounds,1
"imagery,",1
doesn’t,4
it?,2
Identifying,1
pose,2
"huge,",1
"valuable,",1
CapsNet,3
training.,2
encouraging,1
adapt,1
"quickly,",1
hopefully,1
increased,1
greater,2
precision.,1
experimenting,1
now.,2
pan,1
constant,1
advancement,1
extraordinarily,1
of.,1
hope,2
enjoyed,1
retouch,6
convinced,1
value,2
scared,2
SkyNet,1
overlords).,1
incorporate,1
questions!,1
"Comment,",1
"email,",2
hit,1
social,1
media.,1
"encountering,",1
solving,1
fun.,1
information,1
hoarders.,1
"course,",3
resources,2
headfirst.,1
brand,3
retailer—you,1
volume,3
justify,1
Learning,1
dev,1
"do,",1
drive,3
first.,1
"action,",1
"intelligences,",1
try,5
Professional,3
free.,1
Thanks,1
reading!,1
"""Shopify",1
mission,2
democratize,1
empower,1
merchants,11
sizes,3
compete,3
world’s,2
largest,3
ecosystem,2
powered,3
global,2
retailer,1
operating,1
"system.""",1
message,4
Shopify,18
Unite,2
2019,1
conference.,1
crowd,2
two-day,1
event,1
"Toronto,",1
"Canada,",1
empowering,3
common,4
thread,1
weekend.,1
"talk,",1
"update,",1
feature,2
revealed,1
keynotes,1
speeches,1
contributed,1
mission.,2
Shopify’s,10
empowerment,1
struck,1
personally,1
proud,1
entire,1
business,5
photo-editing,1
"entrepreneurs,",1
"studios,",1
online,9
retailers,1
sizes.,3
"me,",1
hearing,2
echoed,1
powerhouse,1
incredibly,1
validating,1
Pixelz',2
Harley,1
"Finkelstein,",1
"COO,",1
discusses,1
Shopify's,5
supporting,1
entrepreneurs,2
announcements,4
writing,2
posts,1
cover,2
news,2
"first,",1
highlighting,1
weekend,2
overall,2
theme,1
loud,1
applause,2
"crowd,",1
Cynthia,2
Savard,2
"Saucier,",1
Director,3
UX,2
Channels,2
"Shopify,",2
unveiled,2
native,3
videos,2
3D,5
Saucier,2
introduces,3
&,6
excitement,1
warranted.,1
explained,3
interact,1
twice,1
purchase,1
didn’t.,1
conversion,1
"rates,",1
can’t,1
merchant,2
partner.,1
technological,1
video,2
sparked,1
cheers,2
crowd.,1
accessibility,2
excited.,1
reserved,2
budgets.,1
"Now,",1
"offer,",2
leveling,1
playing,1
field,2
helping,1
smaller,2
leaders.,1
"keynote,",1
Arpan,1
"Podduturi,",1
host,1
upgrades,1
Point,1
Sale,1
"(POS),",1
informed,1
currently,2
"100,000",1
merchants.,1
"eyes,",2
star,2
announcement,1
"""Tap",1
"Chip""",1
case.,1
Building,2
POS,5
Tap,1
Chip,1
Reader,1
turns,1
sale.,1
larger,1
Apple,1
accessible,4
$1,3
trillion,1
dollars.,1
powerful,4
fit,7
pocket,1
endless:,1
eliminate,1
"lines,",3
stand,2
Saturday,1
"solution,",1
businesses,1
trade,2
shows,2
meet-ups.,1
instantly,2
service,18
size.,3
app,2
received,1
upgrades.,1
Merchants,1
inventory,2
stores,1
sales,3
locations.,1
multi-channel,1
CRM,2
POS.,1
Podduturi,1
suggestions,1
purchases,1
return,2
customer's,1
name.,1
rebuild,1
channel,1
offers,2
store,3
functionality,5
viewing,1
location,2
employee.,1
"Again,",1
dollars,1
invest,1
recognizes,1
"better,",1
"affordable,",1
everyone.,1
days,1
"Unite,",1
loudest,1
heard,3
CPO,2
Craig,2
Miller,4
announced,1
billion,1
distribution,7
network.,2
priced,1
effective,1
shipping,3
options,3
considered,1
insignificant,1
serve,2
current,4
providers.,2
build,2
Shopify-owned,1
partner,1
centers.,1
2-day,1
anywhere,3
"10-10,000",1
items,2
“up,1
down”,1
ship,1
"3-30,000",1
putting,2
ton,1
pressure,1
legacy,1
logistic,1
Billion,1
fullfillment,1
impressive,1
"themselves,",2
dropped,1
neat,1
services,7
including:,1
Simplified,1
Contracts:,1
opposed,2
"contracts,",1
mouse-clicks.,1
Leveraging,1
Machine,1
Learning:,1
centers,1
inform,1
restock,1
node,1
SKUs,1
.,1
Customer,1
Packaging:,1
Custom,1
packaging,1
option,3
packages,5
arrive,1
merchant’s,1
logo,1
Shopify’s.,1
walking-the-walk,1
bring,1
barrier,1
entry,2
"down,",1
simplified,1
deepest,1
pockets.,1
share.,1
"stories,",1
"partnerships,",1
contribute,1
weekend:,1
owners,1
lookout,1
report,1
event!,1
“background,1
removal”,1
"knockout,",1
"cut-out,",1
"silhouette,",1
"etching,",1
"clipping,",2
clipping,5
paths,3
necessarily,2
"take,",1
offer,2
so.,1
guide,3
we’ll,3
"general,",1
questions,4
comparing,2
services.,2
Background,2
Removal,2
"Photoshop,",4
vector,1
graphic,2
outlines,1
"object,",2
trace,1
edges.,1
Clipping,1
purposes:,1
cutting,3
object,1
wrapping,1
text,1
Come,1
stay,2
imagery,3
choose,1
"clipped,",1
looks,6
there!,1
let,1
flexibility,1
"future,",4
"removed,",1
bat.,1
both:,1
"input,",1
outputs,2
clipped,1
removed.,4
"Amazon,",1
"eBay,",1
require,2
neutral,2
backgrounds.,3
cut-out,2
original,8
replace,1
pure,2
compliant,1
good.,2
Even,7
professional,6
studio,7
"photos,",2
differences,2
shoots.,1
Removing,2
"consistent,",2
browsing,1
replacing,2
reduces,2
image’s,1
byte,1
Smaller,1
"loading,",1
experience.,3
"footprints,",1
"props,",1
add,6
shadowing,1
visible,3
distracting,1
"Usually,",1
white.,1
colored,1
backgrounds,2
"pop,",1
placing,3
context.,1
car,1
parking,2
road.,1
Quickly,1
How:,3
obvious,1
"tool,",1
apps,2
Mac,2
"Preview,",1
"GIMP,",1
Paint.Net.,1
Pros,4
Cons:,4
low-cost,1
($10/mo,1
"Photoshop),",2
cost,4
hire,4
remote,1
"Upwork,",1
"Fiverr,",1
Freelance.com.,1
ongoing,1
"local,",1
contractors,1
"Indeed,",1
"LinkedIn,",2
Glassdoor.,1
luck,1
"talent,",1
hiring,3
trial-and-error,1
gamble,1
pain.,1
repeat,1
onboarding,3
new.,1
sites,1
contractor,1
"(Indeed,",1
Glassdoor).,1
consistent,9
"results,",1
maintain,2
"expensive,",2
seasonal,1
"bursts,",1
overloaded,1
idle.,1
lets,1
upload,4
according,2
"needs,",2
including,2
referral,1
trust.,1
pay,3
agreed,1
turnaround,4
times,2
revision,1
processes.,1
"management,",2
predictable,1
seasonally.,1
finding,3
service:,1
bad,3
"freelancer,",1
middleman.(Here,1
compare,4
),1
exists,1
agency,2
founders,2
"(DIY,",1
"freelancers,",1
in-house),1
"unsatisfactory,",1
couldn’t,2
service.,5
clean,4
it—and,1
outsourcing,1
broken,3
"promises,",1
"real,",2
scalable,1
system.,2
hustling,1
promising,2
"nickel,",1
desperately,1
packing,1
freelancers,1
warehouse,1
hired.,1
easy-to-use,1
frontend,1
consistently,2
brag,1
"ourselves,",1
let’s,1
consider,6
general.,2
Search,1
littered,1
Indian,1
“1,1
cent,1
image!,1
1,2
minute!,1
111%,1
rate!”,1
They’ll,1
promise,1
deal.,1
predictor,1
results.,2
check,8
say:,1
"reviews,",1
case,3
"studies,",1
testimonials.,1
wall,1
logos.,1
"alright,",1
grain,1
salt:,1
taken,4
"authorization,",1
5,2
minor,1
department,2
testimonial,1
more.,2
reviews,2
page,2
includes,4
authorized,1
quotes,1
attributed,1
individuals,1
"brands,",3
studies,1
backing,1
up.,2
800+,1
"Trustpilot,",1
independent,1
party,1
review,4
Trustpilot,1
"use,",4
thought-out,1
interface.,1
Cobbling,1
dropbox,1
"folders,",1
skype,1
"calls,",1
cut,1
shift,4
managing,3
particularly,3
"orders,",1
requesting,1
